avg,mapped_wreq,1-288,289-576,577-864,865-1152,1153-1440
92,"{""mean"": 92.0, ""bench"": ""pyaes-bae189d83b7ed1ba04"", ""payload"": ""{\""message_length\"": 288, \""num_iterations\"": 51}""}",1,1,2,2,0
147,"{""mean"": 148.2, ""bench"": ""json_serdes-85677aafebae"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n4480.json\""}""}",1,1,1,1,1
254,"{""mean"": 256.3, ""bench"": ""json_serdes-b4de0d2b5b15"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n7936.json\""}""}",1,0,1,1,2
531,"{""mean"": 526.4, ""bench"": ""pyaes-2e028f9b184242551a"", ""payload"": ""{\""message_length\"": 3520, \""num_iterations\"": 26}""}",1,1,1,1,1
25,"{""mean"": 25.0, ""bench"": ""pyaes-6b201c241f85dbc15c"", ""payload"": ""{\""message_length\"": 3904, \""num_iterations\"": 1}""}",1,1,1,1,1
47,"{""mean"": 47.0, ""bench"": ""chameleon-c45928c11bf0d4"", ""payload"": ""{\""nrow\"": 104, \""ncol\"": 104}""}",1,1,1,1,1
151,"{""mean"": 149.6, ""bench"": ""pyaes-e90054cda7cec3bdff"", ""payload"": ""{\""message_length\"": 80, \""num_iterations\"": 251}""}",1,1,1,1,1
269,"{""mean"": 267.3, ""bench"": ""pyaes-9ec8cd7eb8b66d40e2"", ""payload"": ""{\""message_length\"": 208, \""num_iterations\"": 201}""}",1,1,1,1,1
245,"{""mean"": 243.8, ""bench"": ""chameleon-f385b3120de5d5"", ""payload"": ""{\""nrow\"": 264, \""ncol\"": 264}""}",1,1,1,1,1
10,"{""mean"": 10.0, ""bench"": ""rnn_serving-2207ecc6f16f"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""language\"": \""Chinese\"", \""start_letters\"": \""BCDEFGHIJKLMNOPQRSTUVWXY\"", \""model_parameter_object_key\"": \""rnn_params.pkl\"", \""model_object_key\"": \""rnn_model.pth\""}""}",1,1,1,1,1
541,"{""mean"": 543.2, ""bench"": ""chameleon-1c0f690c40298c"", ""payload"": ""{\""nrow\"": 400, \""ncol\"": 400}""}",1,1,1,1,1
76,"{""mean"": 76.0, ""bench"": ""pyaes-d0a16aff570e36de4d"", ""payload"": ""{\""message_length\"": 64, \""num_iterations\"": 151}""}",1,1,1,1,1
82,"{""mean"": 81.4, ""bench"": ""chameleon-9c8958ad2d2358"", ""payload"": ""{\""nrow\"": 144, \""ncol\"": 144}""}",1,1,1,1,1
270,"{""mean"": 267.3, ""bench"": ""pyaes-9ec8cd7eb8b66d40e2"", ""payload"": ""{\""message_length\"": 208, \""num_iterations\"": 201}""}",1,1,1,1,1
545,"{""mean"": 543.2, ""bench"": ""chameleon-1c0f690c40298c"", ""payload"": ""{\""nrow\"": 400, \""ncol\"": 400}""}",1,1,1,1,1
